State,Dirict,Name,Party,Office Room,Phone,Committee Assignment
Alabama,1,"Moore, Barry(link is external)",R,1511 LHOB,(202) 225-2901,Agriculture|Judiciary
Alabama,2,"Figures, Shomari(link is external)",D,225 CHOB,(202) 225-4931,Agriculture|Transportation and Infrastructure
Alabama,3,"Rogers, Mike(link is external)",R,2469 RHOB,(202) 225-3261,Armed Services
Alabama,4,"Aderholt, Robert(link is external)",R,272 CHOB,(202) 225-4876,Appropriations
Alabama,5,"Strong, Dale(link is external)",R,449 CHOB,(202) 225-4801,Appropriations|Homeland Security
Alabama,6,"Palmer, Gary(link is external)",R,170 CHOB,(202) 225-4921,Oversight and Government Reform|Energy and Commerce
Alabama,7,"Sewell, Terri(link is external)",D,1035 LHOB,(202) 225-2665,House Administration|Ways and Means
Alaska,1,"Begich, Nicholas(link is external)",R,153 CHOB,(202) 225-5765,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
Arizona,1,"Schweikert, David(link is external)",R,166 CHOB,(202) 225-2190,Ways and Means
Arizona,2,"Crane, Elijah(link is external)",R,307 CHOB,(202) 225-3361,Oversight and Government Reform|Homeland Security
Arizona,3,"Ansari, Yassamin(link is external)",D,1432 LHOB,(202) 225-4065,Education and Workforce|Oversight and Government Reform|Natural Resources
Arizona,4,"Stanton, Greg(link is external)",D,207 CHOB,(202) 225-9888,Foreign Affairs|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
Arizona,5,"Biggs, Andy(link is external)",R,464 CHOB,(202) 225-2635,Oversight and Government Reform|Judiciary
Arizona,6,"Ciscomani, Juan(link is external)",R,461 CHOB,(202) 225-2542,Appropriations|Veterans' Affairs
Arizona,7,"Grijalva, Raúl M.(link is external)- Vacancy",D,1203 LHOB,(202) 225-2435,
Arizona,8,"Hamadeh, Abraham(link is external)",R,1722 LHOB,(202) 225-4576,Armed Services|Veterans' Affairs
Arizona,9,"Gosar, Paul(link is external)",R,2057 RHOB,(202) 225-2315,Oversight and Government Reform|Natural Resources
Arkansas,1,"Crawford, Eric(link is external)",R,2422 RHOB,(202) 225-4076,Agriculture|Intelligence|Transportation and Infrastructure
Arkansas,2,"Hill, J.(link is external)",R,1533 LHOB,(202) 225-2506,Financial Services|Intelligence
Arkansas,3,"Womack, Steve(link is external)",R,2412 RHOB,(202) 225-4301,Appropriations
Arkansas,4,"Westerman, Bruce(link is external)",R,202 CHOB,(202) 225-3772,Natural Resources|Transportation and Infrastructure
California,1,"LaMalfa, Doug(link is external)",R,408 CHOB,(202) 225-3076,Agriculture|Natural Resources|Transportation and Infrastructure
California,2,"Huffman, Jared(link is external)",D,2330 RHOB,(202) 225-5161,Natural Resources|Transportation and Infrastructure
California,3,"Kiley, Kevin(link is external)",R,2445 RHOB,(202) 225-2523,Education and Workforce|Judiciary|Transportation and Infrastructure
California,4,"Thompson, Mike(link is external)",D,268 CHOB,(202) 225-3311,Ways and Means
California,5,"McClintock, Tom(link is external)",R,2256 RHOB,(202) 225-2511,Budget|Natural Resources|Judiciary
California,6,"Bera, Ami(link is external)",D,172 CHOB,(202) 225-5716,Foreign Affairs|Intelligence
California,7,"Matsui, Doris(link is external)",D,2206 RHOB,(202) 225-7163,Energy and Commerce
California,8,"Garamendi, John(link is external)",D,2428 RHOB,(202) 225-1880,Armed Services|Transportation and Infrastructure
California,9,"Harder, Josh(link is external)",D,209 CHOB,(202) 225-4540,Appropriations
California,10,"DeSaulnier, Mark(link is external)",D,2134 RHOB,(202) 225-2095,Education and Workforce|Transportation and Infrastructure|Ethics
California,11,"Pelosi, Nancy(link is external)",D,1236 LHOB,(202) 225-4965,
California,12,"Simon, Lateefah(link is external)",D,1023 LHOB,(202) 225-2661,Oversight and Government Reform|Small Business
California,13,"Gray, Adam(link is external)",D,1230 LHOB,(202) 225-1947,Agriculture|Natural Resources
California,14,"Swalwell, Eric(link is external)",D,174 CHOB,(202) 225-5065,Homeland Security|Judiciary
California,15,"Mullin, Kevin(link is external)",D,1404 LHOB,(202) 225-3531,Energy and Commerce
California,16,"Liccardo, Sam(link is external)",D,1117 LHOB,(202) 225-8104,Financial Services
California,17,"Khanna, Ro(link is external)",D,306 CHOB,(202) 225-2631,Armed Services|Oversight and Government Reform|Select Comm on the Strategic Competition US and China
California,18,"Lofgren, Zoe(link is external)",D,1401 LHOB,(202) 225-3072,"Judiciary|Science, Space, and Technology"
California,19,"Panetta, Jimmy(link is external)",D,200 CHOB,(202) 225-2861,Budget|Ways and Means
California,20,"Fong, Vince(link is external)",R,243 CHOB,(202) 225-2915,"Transportation and Infrastructure|Science, Space, and Technology"
California,21,"Costa, Jim(link is external)",D,2081 RHOB,(202) 225-3341,Agriculture|Foreign Affairs
California,22,"Valadao, David(link is external)",R,2465 RHOB,(202) 225-4695,Appropriations|Joint Committee of Congress on the Library
California,23,"Obernolte, Jay(link is external)",R,2433 RHOB,(202) 225-5861,"Budget|Energy and Commerce|Science, Space, and Technology"
California,24,"Carbajal, Salud(link is external)",D,2331 RHOB,(202) 225-3601,Agriculture|Armed Services|Transportation and Infrastructure
California,25,"Ruiz, Raul(link is external)",D,2342 RHOB,(202) 225-5330,Energy and Commerce
California,26,"Brownley, Julia(link is external)",D,2262 RHOB,(202) 225-5811,Natural Resources|Transportation and Infrastructure|Veterans' Affairs
