name,FID,cx,cy,county,st,year,total,noncitizen,citizen,rate
Jay,18075,685.8042397481609,254.33403739998045,"Jay County, Indiana",NA,2023,20281,124,20157,0.611409694
Renville,38075,412.31968175161404,74.6530293914023,"Renville County, North Dakota",NA,2023,2277,55,2222,2.415458937
Gilliam,41021,115.36138414817123,104.64604262034118,"Gilliam County, Oregon",NA,2023,2002,28,1974,1.398601399
McDonald,29119,527.8060907969414,352.23455315013507,"McDonald County, Missouri",NA,2023,23492,1873,21619,7.972926954
Yoakum,48501,369.3060500806641,426.9003408798341,"Yoakum County, Texas",NA,2023,7589,1277,6312,16.82698643
Childress,48075,420.03257021532556,398.80432272746214,"Childress County, Texas",NA,2023,6772,192,6580,2.83520378
Douglas,13097,707.9926146668723,406.9398448265363,"Douglas County, Georgia",NA,2023,146141,6271,139870,4.291061372
Kusilvak,02158,63.17666908684784,534.0221524652998,"Kusilvak Census Area, Alaska",NA,2023,8277,38,8239,0.45910354
Warren,19181,539.2388855908805,244.1851839897659,"Warren County, Iowa",NA,2023,53484,304,53180,0.568394286
Comanche,40031,452.27853845549,397.14190514509653,"Comanche County, Oklahoma",NA,2023,121699,2952,118747,2.425656743
Beckham,40009,430.44648297064646,382.3309127864012,"Beckham County, Oklahoma",NA,2023,22202,490,21712,2.207008378
Buffalo,46017,446.06691486680165,181.5175922528426,"Buffalo County, South Dakota",NA,2023,1757,0,1757,0
Gillespie,48171,440.41600476903847,495.7045185798668,"Gillespie County, Texas",NA,2023,27202,1144,26058,4.20557312
Dickens,48125,408.40274476836134,419.16482159724427,"Dickens County, Texas",NA,2023,1641,36,1605,2.193784278
La Salle,48283,435.9778976927685,540.3510094700559,"La Salle County, Texas",NA,2023,6946,398,6548,5.729916499
Tucker,54093,782.5841460043533,270.8300396653685,"Tucker County, West Virginia",NA,2023,6698,12,6686,0.179157958
Shasta,06089,59.84162054164888,196.40948058804258,"Shasta County, California",NA,2023,181554,4159,177395,2.290778501
Saline,17165,630.391521652966,321.51982726538506,"Saline County, Illinois",NA,2023,23387,160,23227,0.684140762
Manistee,26101,658.7287340232608,167.93093548465737,"Manistee County, Michigan",NA,2023,25247,230,25017,0.910999327
Garfield,31071,447.8929271593753,230.66731051603398,"Garfield County, Nebraska",NA,2023,1797,0,1797,0
Custer,31041,435.12679776522805,242.12970928328537,"Custer County, Nebraska",NA,2023,10544,157,10387,1.488998483
Miner,46097,471.84914175040024,183.147565003309,"Miner County, South Dakota",NA,2023,2299,0,2299,0
Clark,46025,470.20395174796835,164.1597008063826,"Clark County, South Dakota",NA,2023,3876,70,3806,1.805985552
Cross,05037,593.9717191095672,380.3618594907409,"Cross County, Arkansas",NA,2023,16681,235,16446,1.408788442
Archuleta,08007,300.7025885985601,327.9943132140255,"Archuleta County, Colorado",NA,2023,13730,282,13448,2.053896577
Glades,12043,800.1891590429283,548.9986358306904,"Glades County, Florida",NA,2023,12324,777,11547,6.304771178
Gregory,46053,444.310190320162,201.42445438523634,"Gregory County, South Dakota",NA,2023,3993,6,3987,0.15026296
Hansford,48195,401.0449669284026,357.79657850579713,"Hansford County, Texas",NA,2023,5182,557,4625,10.74874566
Pierce,53053,97.3507121170276,61.30340966611097,"Pierce County, Washington",NA,2023,924106,41643,882463,4.506301225
Coweta,13077,708.6436811234821,414.66827276989454,"Coweta County, Georgia",NA,2023,150071,5196,144875,3.462361149
Clarke,13059,733.5761717391938,397.78437465817115,"Clarke County, Georgia",NA,2023,129267,7963,121304,6.160118205
Johnson,18081,669.4123779643992,278.0034171734778,"Johnson County, Indiana",NA,2023,163983,4211,159772,2.567949117
Marion,20115,478.7634465444935,312.58514917319155,"Marion County, Kansas",NA,2023,11795,52,11743,0.440864773
Isanti,27059,540.516236930435,147.74928966650705,"Isanti County, Minnesota",NA,2023,41934,422,41512,1.006343301
Antelope,31003,463.5069728259764,225.09255714930623,"Antelope County, Nebraska",NA,2023,6302,110,6192,1.745477626
Medina,39103,736.7117965761821,232.0406749145518,"Medina County, Ohio",NA,2023,183049,1971,181078,1.076760867
Sequatchie,47153,692.4368656757377,371.0875132625628,"Sequatchie County, Tennessee",NA,2023,16409,329,16080,2.004997258
Potter,48375,390.0453518398798,377.23113046347726,"Potter County, Texas",NA,2023,116634,11008,105626,9.438071231
Falls,48145,479.91272667262683,475.21363992660815,"Falls County, Texas",NA,2023,17063,658,16405,3.856297251
Griggs,38039,463.4349260359257,105.10878021107332,"Griggs County, North Dakota",NA,2023,2340,10,2330,0.427350427
Douglas,46043,459.19612919375345,197.3568090588227,"Douglas County, South Dakota",NA,2023,2823,45,2778,1.594048884
Hamilton,48193,457.5526543015132,465.13378324009,"Hamilton County, Texas",NA,2023,8320,341,7979,4.098557692
Wayne,19185,543.5686976488566,257.6819413543466,"Wayne County, Iowa",NA,2023,6518,44,6474,0.675053697
Slope,38087,381.18853276488994,123.55121177306364,"Slope County, North Dakota",NA,2023,795,0,795,0
Runnels,48399,421.74163057790395,460.5736009926553,"Runnels County, Texas",NA,2023,9880,282,9598,2.854251012
Coconino,04005,211.91371264058716,345.29774022632284,"Coconino County, Arizona",NA,2023,144643,3606,141037,2.493034575
Benewah,16009,180.32387285589525,76.57247453588137,"Benewah County, Idaho",NA,2023,9913,15,9898,0.151316453
Barber,20007,449.9209163523722,337.91338256380084,"Barber County, Kansas",NA,2023,4153,24,4129,0.577895497
Rock,27133,493.8873656762215,191.2758775339338,"Rock County, Minnesota",NA,2023,9628,104,9524,1.0801828
Washington,23029,946.8183181382619,95.46856152397308,"Washington County, Maine",NA,2023,31261,424,30837,1.356322574
Liberty,30051,271.10259688934457,62.982060286593686,"Liberty County, Montana",NA,2023,1968,20,1948,1.016260163
Marshall,46091,472.6972276505046,143.6167065096364,"Marshall County, South Dakota",NA,2023,4355,66,4289,1.515499426
Wayne,36117,808.403513961546,172.350725561663,"Wayne County, New York",NA,2023,91128,673,90455,0.73852164
Bristol Bay,02060,85.58623377463061,564.1914660739251,"Bristol Bay Borough, Alaska",NA,2023,878,42,836,4.783599089
DeSoto,12027,784.9989671532473,546.0459013314426,"DeSoto County, Florida",NA,2023,34719,2794,31925,8.047466805
Bartow,13015,705.2139936752916,394.9978810212695,"Bartow County, Georgia",NA,2023,111153,2648,108505,2.382301872
Marshall,19127,548.2313810366813,227.88914187213732,"Marshall County, Iowa",NA,2023,39971,3485,36486,8.718821145
Edwards,20047,439.3084407381823,323.08556784198515,"Edwards County, Kansas",NA,2023,2817,213,2604,7.561235357
Ogemaw,26129,689.643739381025,164.26366794211538,"Ogemaw County, Michigan",NA,2023,20853,153,20700,0.73370738
Howard,31093,455.42089068631765,246.76278224109018,"Howard County, Nebraska",NA,2023,6492,94,6398,1.447935921
Hancock,39063,706.8080455982459,238.7275339364002,"Hancock County, Ohio",NA,2023,74885,1592,73293,2.125926421
Scott,21209,698.8295465072056,302.4596758764983,"Scott County, Kentucky",NA,2023,58269,784,57485,1.345483877
Bledsoe,47007,694.2827462351289,365.62033553038424,"Bledsoe County, Tennessee",NA,2023,14905,145,14760,0.97282791
Rockingham,37157,790.1413486659297,332.8179809246427,"Rockingham County, North Carolina",NA,2023,91585,1922,89663,2.098596932
Hale,48189,389.4106698298797,407.70980155621436,"Hale County, Texas",NA,2023,32247,2030,30217,6.29515924
Waynesboro,51820,798.8417752082028,292.4229658899374,"Waynesboro city, Virginia",NA,2023,22574,553,22021,2.449720918
Natrona,56025,320.10741340916024,197.42166226476067,"Natrona County, Wyoming",NA,2023,79735,820,78915,1.028406597
San Jacinto,48407,513.7866988663471,491.56569535599806,"San Jacinto County, Texas",NA,2023,27983,1521,26462,5.435442948
Waupaca,55135,611.4247836792031,168.88412787453427,"Waupaca County, Wisconsin",NA,2023,51714,275,51439,0.531770894
Harrison,39067,752.7126022319055,248.43149830195858,"Harrison County, Ohio",NA,2023,14408,34,14374,0.235980011
Decatur,13087,719.3391517181301,470.56721848665063,"Decatur County, Georgia",NA,2023,29118,775,28343,2.6615839
Acadia,22001,568.082149073315,495.63892237555285,"Acadia Parish, Louisiana",NA,2023,57218,216,57002,0.377503583
Carver,27019,533.7937111944665,165.5815494083903,"Carver County, Minnesota",NA,2023,108622,2410,106212,2.218703393
Hamilton,17065,629.8405654291812,314.0215321638236,"Hamilton County, Illinois",NA,2023,7972,17,7955,0.213246362
Kandiyohi,27067,513.9135480223576,157.5864480031052,"Kandiyohi County, Minnesota",NA,2023,43757,2605,41152,5.953333181
Manitowoc,55071,630.2926119926698,175.69986009480877,"Manitowoc County, Wisconsin",NA,2023,81314,1501,79813,1.84593059
Butler,01013,676.6481184923288,455.1250333002413,"Butler County, Alabama",NA,2023,18807,137,18670,0.728452172
Jones,13169,732.5085371579596,419.52934030147253,"Jones County, Georgia",NA,2023,28526,166,28360,0.581925261
Franklin,19069,543.36531855555,212.11254096461323,"Franklin County, Iowa",NA,2023,9977,549,9428,5.502656109
Noble,18113,676.3602453223668,233.3892856446725,"Noble County, Indiana",NA,2023,47417,1611,45806,3.397515659
Thomas,20193,410.20513792433553,287.7727273019643,"Thomas County, Kansas",NA,2023,7913,279,7634,3.525843549
Clare,26035,678.9850753961912,173.52097151048883,"Clare County, Michigan",NA,2023,31109,73,31036,0.23465878
Crawford,26039,680.9456099748778,157.35803302534336,"Crawford County, Michigan",NA,2023,13271,82,13189,0.617888629
Webster,29225,553.8679923523963,336.7126053579388,"Webster County, Missouri",NA,2023,39868,182,39686,0.456506471
Arthur,31005,402.1289834225007,236.47710162509725,"Arthur County, Nebraska",NA,2023,540,3,537,0.555555556
Polk,31143,471.53334349133587,247.89510950743676,"Polk County, Nebraska",NA,2023,5209,69,5140,1.324630447
Codington,46029,478.97742112930575,161.5073297888113,"Codington County, South Dakota",NA,2023,28556,239,28317,0.836951954
Duval,48131,447.32296232578875,555.6626589673525,"Duval County, Texas",NA,2023,9824,84,9740,0.85504886
Moore,48341,390.67932673680764,367.2674017231162,"Moore County, Texas",NA,2023,21234,4570,16664,21.52208722
Martin,48317,384.5694825334436,447.78853852374135,"Martin County, Texas",NA,2023,5230,325,4905,6.21414914
Knox,39083,729.7615720933452,249.52932771673915,"Knox County, Ohio",NA,2023,62888,614,62274,0.976338888
Limestone,48293,486.940601514551,468.66417528715243,"Limestone County, Texas",NA,2023,22185,1441,20744,6.495379761
Delaware,19055,575.0930974587855,216.8711766394262,"Delaware County, Iowa",NA,2023,17549,21,17528,0.119664938
Seward,31159,478.6239152645712,255.16771767192898,"Seward County, Nebraska",NA,2023,17636,45,17591,0.2551599
Zavala,48507,423.2140676213708,528.0514758916147,"Zavala County, Texas",NA,2023,9532,264,9268,2.769618128
Sierra,06091,79.65989170978521,230.92162017340064,"Sierra County, California",NA,2023,2731,63,2668,2.306847309
Winnebago,17201,611.8165588545013,217.39193298840647,"Winnebago County, Illinois",NA,2023,283289,12808,270481,4.52117802
York,23031,907.5765605658238,140.80675493650625,"York County, Maine",NA,2023,214731,3308,211423,1.540532108
Caroline,24011,848.2746742972039,263.7734804572868,"Caroline County, Maryland",NA,2023,33406,1658,31748,4.963180267
Montmorency,26119,687.6848288430559,148.6288915906183,"Montmorency County, Michigan",NA,2023,9372,28,9344,0.298762271
Richland,38077,483.19398072593407,132.42419029652305,"Richland County, North Dakota",NA,2023,16550,87,16463,0.525679758
Beaver,42007,763.8676254514065,237.67027485455003,"Beaver County, Pennsylvania",NA,2023,166993,1027,165966,0.614995838
Cochran,48079,370.0034346614051,417.0348121757751,"Cochran County, Texas",NA,2023,2520,312,2208,12.38095238
Gladwin,26051,686.4007447068861,172.64507149478578,"Gladwin County, Michigan",NA,2023,25543,101,25442,0.395411659
Washington,08121,375.06031816073335,271.58918199025686,"Washington County, Colorado",NA,2023,4839,121,4718,2.500516636
Buchanan,19019,567.2168833681158,217.22675677271977,"Buchanan County, Iowa",NA,2023,20645,229,20416,1.109227416
Webster,19187,528.2735626683963,219.44914725738988,"Webster County, Iowa",NA,2023,36848,983,35865,2.667716023
Ford,20057,428.92216803119476,326.7158776635715,"Ford County, Kansas",NA,2023,34133,5052,29081,14.80092579
Oscoda,26135,688.6254998782648,156.43454977159752,"Oscoda County, Michigan",NA,2023,8338,24,8314,0.28783881
Neshoba,28099,628.4710153861975,436.3858594223551,"Neshoba County, Mississippi",NA,2023,28927,157,28770,0.542745532
Phelps,31137,439.654344644533,262.506965446539,"Phelps County, Nebraska",NA,2023,8983,169,8814,1.881331404
Cuming,31039,484.8272380392557,231.35754395287742,"Cuming County, Nebraska",NA,2023,8976,512,8464,5.704099822
Greenville,45045,748.5796674226085,372.98474587665874,"Greenville County, South Carolina",NA,2023,537575,26390,511185,4.909082454
Fisher,48151,414.54213666514886,439.42623076280603,"Fisher County, Texas",NA,2023,3661,109,3552,2.977328599
Franklin,37069,817.99174982359,335.1659108963417,"Franklin County, North Carolina",NA,2023,71962,2542,69420,3.532419888
Defiance,39039,692.1049331932377,232.81651500806805,"Defiance County, Ohio",NA,2023,38258,338,37920,0.883475352
Giles,47055,662.8342369802548,377.6199638959856,"Giles County, Tennessee",NA,2023,30442,204,30238,0.670126799
Baylor,48023,437.7415889156797,420.4008694483583,"Baylor County, Texas",NA,2023,3464,49,3415,1.414549654
Panola,48365,530.3922826613912,454.4435898513491,"Panola County, Texas",NA,2023,22624,687,21937,3.036598303
Adams,53001,150.4601760081473,74.3690528655527,"Adams County, Washington",NA,2023,20690,3692,16998,17.84436926
Boone,19015,532.6338592888034,228.28948764690165,"Boone County, Iowa",NA,2023,26669,52,26617,0.194982939
Jack,48237,457.06138626151767,429.6400334645042,"Jack County, Texas",NA,2023,8623,333,8290,3.861765047
Chase,20017,487.6070706852856,314.0662062362526,"Chase County, Kansas",NA,2023,2579,98,2481,3.799922451
Coryell,48099,463.30181645775644,471.8757978547551,"Coryell County, Texas",NA,2023,83772,2578,81194,3.077400563
Clinton,26037,685.8208949935745,196.66565927832522,"Clinton County, Michigan",NA,2023,79419,797,78622,1.003538196
Woodson,20207,502.6295722248512,323.6646317157763,"Woodson County, Kansas",NA,2023,3118,1,3117,0.032071841
DeKalb,17037,619.1265510701434,227.37702033495896,"DeKalb County, Illinois",NA,2023,100512,3251,97261,3.234439669
Ringgold,19159,527.9565408486411,258.1534001493864,"Ringgold County, Iowa",NA,2023,4664,19,4645,0.407375643
Shelby,19165,509.62656726540916,236.66983132962406,"Shelby County, Iowa",NA,2023,11757,108,11649,0.918601684
Fresno,06019,72.72551026202191,298.93857462310336,"Fresno County, California",NA,2023,1012152,104473,907679,10.32186865
Union,19175,527.8554901740423,251.4575886636353,"Union County, Iowa",NA,2023,12038,72,11966,0.598105998
Marshall,17123,611.324852787671,248.08189835435627,"Marshall County, Illinois",NA,2023,11715,108,11607,0.921895006
Piatt,17147,625.2669234032381,270.0698243781949,"Piatt County, Illinois",NA,2023,16702,42,16660,0.25146689
Adams,19003,520.0999329887914,251.54962239686313,"Adams County, Iowa",NA,2023,3641,3,3638,0.082394946
Richland,17159,636.6821878433326,298.90504019628474,"Richland County, Illinois",NA,2023,15675,97,15578,0.618819777
Chester,47023,633.2568988353869,374.3908907956129,"Chester County, Tennessee",NA,2023,17452,101,17351,0.578730231
Branch,26023,681.0105308946553,220.8770718731307,"Branch County, Michigan",NA,2023,44914,1418,43496,3.157144766
Randolph,37151,792.2575231179111,348.41015951162797,"Randolph County, North Carolina",NA,2023,145322,6792,138530,4.673758963
Wallace,20199,397.30677984606984,297.0168242643538,"Wallace County, Kansas",NA,2023,1459,20,1439,1.370801919
Wayne,18177,687.2420335150217,267.34950080924744,"Wayne County, Indiana",NA,2023,66377,1395,64982,2.101631589
Emporia,51595,828.5825702055022,318.89716622261784,"Emporia city, Virginia",NA,2023,5633,156,5477,2.769394639
Lipscomb,48295,420.6127896809038,358.7779961413436,"Lipscomb County, Texas",NA,2023,2964,308,2656,10.39136302
Trousdale,47169,675.9631665663105,348.89698583338617,"Trousdale County, Tennessee",NA,2023,11805,169,11636,1.431596781
San Juan,49037,254.7571542732051,313.30630305818573,"San Juan County, Utah",NA,2023,14466,80,14386,0.553020877
Mahaska,19123,554.7872321547029,243.69694113100286,"Mahaska County, Iowa",NA,2023,22045,245,21800,1.111363121
Boundary,16021,191.4768311868729,43.34182241686186,"Boundary County, Idaho",NA,2023,12695,446,12249,3.513194171
Logan,17107,612.0505767522751,268.50158929880445,"Logan County, Illinois",NA,2023,27870,186,27684,0.667384284
Franklin,20059,510.55893536557835,308.0875085959406,"Franklin County, Kansas",NA,2023,25994,251,25743,0.965607448
Bienville,22013,554.8776683289614,450.13355391008344,"Bienville Parish, Louisiana",NA,2023,12769,88,12681,0.689169081
Amador,06005,66.73484663330305,254.57832812999254,"Amador County, California",NA,2023,41029,900,40129,2.193570401
El Dorado,06017,73.13763115766203,249.48037564993112,"El Dorado County, California",NA,2023,192299,7508,184791,3.904336476
Izard,05065,572.8346231341222,363.1273094078753,"Izard County, Arkansas",NA,2023,13866,57,13809,0.411077456
Buena Vista,51530,792.199428098644,301.4701746552247,"Buena Vista city, Virginia",NA,2023,6612,0,6612,0
Danville,51590,796.3944831631072,327.4802995158718,"Danville city, Virginia",NA,2023,42239,1252,40987,2.964085324
Galax,51640,768.8530514330629,330.0292749388411,"Galax city, Virginia",NA,2023,6698,213,6485,3.180053747
Harrisonburg,51660,797.7643067875847,284.10987613241576,"Harrisonburg city, Virginia",NA,2023,51492,5577,45915,10.83080867
Martinsville,51690,787.4792395042658,326.5427168410244,"Martinsville city, Virginia",NA,2023,13584,574,13010,4.225559482
Fulton,18049,662.423118808717,242.76548953532654,"Fulton County, Indiana",NA,2023,20411,238,20173,1.166037921
Adair,19001,523.8647840678791,244.59412532630853,"Adair County, Iowa",NA,2023,7471,47,7424,0.629099184
Monterey,06053,43.70750588785736,300.8785711235354,"Monterey County, California",NA,2023,435834,87281,348553,20.02620264
Warren,29219,583.127892782661,301.6871662935365,"Warren County, Missouri",NA,2023,36467,156,36311,0.427784024
Yadkin,37197,775.2124809607973,341.0111460985913,"Yadkin County, North Carolina",NA,2023,37419,1482,35937,3.960554798
Gratiot,26057,684.8116971721067,188.79001401589693,"Gratiot County, Michigan",NA,2023,41478,333,41145,0.802835238
Lee,21129,716.0035852843152,315.85448101014487,"Lee County, Kentucky",NA,2023,7375,14,7361,0.189830508
Neosho,20133,510.36621232060395,331.1425986427271,"Neosho County, Kansas",NA,2023,15715,159,15556,1.011772192
Ionia,26067,678.0631990123975,197.56800475751137,"Ionia County, Michigan",NA,2023,66706,450,66256,0.674601985
Kalamazoo,26077,672.3360794727428,214.2749485577985,"Kalamazoo County, Michigan",NA,2023,261437,8593,252844,3.286833922
McLean,21149,654.1505048150003,325.22116244916555,"McLean County, Kentucky",NA,2023,9127,56,9071,0.61356415
Cottonwood,27033,511.06868141596965,184.11342017249797,"Cottonwood County, Minnesota",NA,2023,11458,415,11043,3.621923547
