name,FID,cx,cy,county,st,year,total,noncitizen,citizen,rate
Mohave,04015,171.3648616128871,346.6795241090516,"Mohave County, Arizona",NA,2023,217420,5158,212262,2.372366848
Tangipahoa,22105,606.9318581068148,486.55527486646815,"Tangipahoa Parish, Louisiana",NA,2023,135218,2171,133047,1.605555473
Lincoln,16063,200.53455761503264,178.0986230137196,"Lincoln County, Idaho",NA,2023,5276,499,4777,9.457922669
Polk,27119,488.6527969370772,100.24523383186005,"Polk County, Minnesota",NA,2023,30905,384,30521,1.242517392
Cass,38017,478.5847643366543,117.17470780446378,"Cass County, North Dakota",NA,2023,189286,8869,180417,4.685502362
Lawrence,46081,371.7132177593701,170.53520961630963,"Lawrence County, South Dakota",NA,2023,26574,316,26258,1.189132235
Schoharie,36095,852.9142503797444,175.61491089144138,"Schoharie County, New York",NA,2023,29979,246,29733,0.820574402
Wrangell,02275,192.80206721416212,567.0784848899757,"Wrangell City and Borough, Alaska",NA,2023,2106,71,2035,3.371320038
Haralson,13143,699.4847139876445,405.9267741720131,"Haralson County, Georgia",NA,2023,30720,128,30592,0.416666667
Bleckley,13023,738.5774884507009,432.2632134119877,"Bleckley County, Georgia",NA,2023,12414,78,12336,0.628322861
Lawrence,18093,664.303176586836,293.5051283661698,"Lawrence County, Indiana",NA,2023,45077,161,44916,0.357166626
Jennings,18079,678.7534019593348,288.0947992262925,"Jennings County, Indiana",NA,2023,27584,139,27445,0.503915313
Lapeer,26087,707.9045179634495,190.38950882083213,"Lapeer County, Michigan",NA,2023,88703,1031,87672,1.162305672
Chickasaw,28017,629.607575754624,409.2254945525217,"Chickasaw County, Mississippi",NA,2023,16994,266,16728,1.565258326
Crawford,39033,719.9293657092196,240.50177394197271,"Crawford County, Ohio",NA,2023,41767,351,41416,0.840376374
Minnehaha,46099,485.09256688791635,191.23698593800685,"Minnehaha County, South Dakota",NA,2023,200689,8242,192447,4.106851895
Turner,46125,478.88851434582176,198.9139531973999,"Turner County, South Dakota",NA,2023,8772,159,8613,1.812585499
Walker,48471,506.43657438577134,487.3429531371175,"Walker County, Texas",NA,2023,78292,3854,74438,4.922597456
Aurora,46003,456.2173798433445,189.7383348611188,"Aurora County, South Dakota",NA,2023,2573,100,2473,3.886513797
Brooks,48047,453.2064821270545,570.4923352208257,"Brooks County, Texas",NA,2023,6987,325,6662,4.651495635
Chase,31029,400.6623025147286,260.336249783025,"Chase County, Nebraska",NA,2023,3639,221,3418,6.073097005
Conejos,08021,315.8397803165752,329.6689381640143,"Conejos County, Colorado",NA,2023,7536,116,7420,1.539278132
Washington,24043,812.7850216541642,253.66218700659556,"Washington County, Maryland",NA,2023,155033,4867,150166,3.139331626
Norton,20137,430.61796419961513,278.8000800769925,"Norton County, Kansas",NA,2023,5392,60,5332,1.112759644
Ford,17053,629.980057755237,258.24599655725683,"Ford County, Illinois",NA,2023,13396,206,13190,1.537772469
Deaf Smith,48117,376.34109280689495,386.33838945709016,"Deaf Smith County, Texas",NA,2023,18487,2380,16107,12.8739114
Sumter,13261,722.9342978235089,443.51784415282566,"Sumter County, Georgia",NA,2023,29174,641,28533,2.197161856
Marinette,55075,623.4758406289953,144.91980597429492,"Marinette County, Wisconsin",NA,2023,41907,366,41541,0.873362445
San Benito,06069,50.98409932311128,293.6383062848603,"San Benito County, California",NA,2023,66056,6744,59312,10.2095192
Meriwether,13199,711.234181905031,421.93260345604904,"Meriwether County, Georgia",NA,2023,20757,27,20730,0.130076601
Black Hawk,19013,559.3911033380523,217.57839288738512,"Black Hawk County, Iowa",NA,2023,130693,4354,126339,3.331471464
Hancock,19081,535.3594919000072,204.35428980112385,"Hancock County, Iowa",NA,2023,10718,148,10570,1.380854637
Red Lake,27125,496.55469894151724,96.36514735479344,"Red Lake County, Minnesota",NA,2023,3922,12,3910,0.305966344
Nance,31125,464.36882783299484,242.81995387857816,"Nance County, Nebraska",NA,2023,3342,0,3342,0
Lebanon,42075,830.4452445663173,232.68534971362214,"Lebanon County, Pennsylvania",NA,2023,143592,2219,141373,1.545350716
Hockley,48219,379.0916776400838,417.65756699160374,"Hockley County, Texas",NA,2023,21455,1074,20381,5.005826148
Shackelford,48417,434.3995966655802,440.3998909020188,"Shackelford County, Texas",NA,2023,3169,16,3153,0.504891133
Tom Green,48451,413.06993371253327,470.73032498166805,"Tom Green County, Texas",NA,2023,119398,3837,115561,3.213621669
Wise,48497,466.82668213236946,430.3131130493827,"Wise County, Texas",NA,2023,72359,3526,68833,4.872925275
Lake,46079,479.66383750017565,183.265136729176,"Lake County, South Dakota",NA,2023,11052,204,10848,1.845819761
Hyde,46069,441.7855411083868,170.43361529795266,"Hyde County, South Dakota",NA,2023,1305,0,1305,0
Cottle,48101,418.19148138750273,409.1468867138684,"Cottle County, Texas",NA,2023,1302,0,1302,0
Santa Cruz,04023,213.17459735486622,446.68399262816513,"Santa Cruz County, Arizona",NA,2023,48209,6445,41764,13.36887303
Wapello,19179,558.9580380541558,250.5151796208599,"Wapello County, Iowa",NA,2023,35265,1897,33368,5.379271232
Cedar,19031,579.7447988789593,232.61071938863566,"Cedar County, Iowa",NA,2023,18427,170,18257,0.922559288
Garfield,30033,328.19263480743297,100.03403979631364,"Garfield County, Montana",NA,2023,938,0,938,0
St. Clair,29185,537.435078688368,319.551019329751,"St. Clair County, Missouri",NA,2023,9451,63,9388,0.666596127
Okaloosa,12091,680.8290967203797,478.9740555127683,"Okaloosa County, Florida",NA,2023,214281,9124,205157,4.257960342
Todd,21219,656.4453121931939,340.50778446466995,"Todd County, Kentucky",NA,2023,12330,148,12182,1.200324412
Aroostook,23003,922.0350340773939,56.9421519497902,"Aroostook County, Maine",NA,2023,67227,975,66252,1.450310143
Allegany,24001,797.5133017808449,256.32537688357337,"Allegany County, Maryland",NA,2023,67762,649,67113,0.957763938
Lauderdale,28075,637.6838269696855,443.75351446019704,"Lauderdale County, Mississippi",NA,2023,71984,639,71345,0.887697266
Dickey,38021,458.54991034990525,135.40451075872835,"Dickey County, North Dakota",NA,2023,4959,125,4834,2.52066949
Meeker,27093,521.5984123576367,157.6371145980487,"Meeker County, Minnesota",NA,2023,23422,203,23219,0.866706515
Bennett,46007,404.8732911530882,199.4827938207946,"Bennett County, South Dakota",NA,2023,3354,40,3314,1.192605844
Summit,49043,240.8386335705526,236.13355789081226,"Summit County, Utah",NA,2023,42709,2148,40561,5.029384907
Seneca,36099,812.7093849221261,179.50120323299367,"Seneca County, New York",NA,2023,33125,431,32694,1.301132075
Greenwood,20073,493.82989962330987,323.80944048732835,"Greenwood County, Kansas",NA,2023,5956,23,5933,0.386165212
Lane,20101,419.4933510431828,308.196839149221,"Lane County, Kansas",NA,2023,1497,53,1444,3.540414162
Newaygo,26123,664.6524222775472,185.0777163010211,"Newaygo County, Michigan",NA,2023,50414,475,49939,0.942198596
Clay,31035,462.95175260462844,262.86924465089663,"Clay County, Nebraska",NA,2023,6084,74,6010,1.216305062
Orleans,36073,788.4470725754372,173.72575649862688,"Orleans County, New York",NA,2023,39686,583,39103,1.4690319
Nelson,38063,464.4922926256861,95.38621663711218,"Nelson County, North Dakota",NA,2023,3015,71,2944,2.354892206
Blaine,40011,453.91597054243704,369.24614235594123,"Blaine County, Oklahoma",NA,2023,8603,449,8154,5.219109613
Taylor,48441,423.8350873701967,449.9022991178597,"Taylor County, Texas",NA,2023,144259,5669,138590,3.929737486
Armstrong,48011,399.3001614070793,387.78852867170656,"Armstrong County, Texas",NA,2023,1883,60,1823,3.186404673
Hutchinson,48233,400.4788144378897,367.7951144784357,"Hutchinson County, Texas",NA,2023,20413,498,19915,2.43962181
Irion,48235,401.82339945704837,471.635190993919,"Irion County, Texas",NA,2023,1432,48,1384,3.351955307
Waushara,55137,607.6257720558174,177.40313667070154,"Waushara County, Wisconsin",NA,2023,24752,312,24440,1.260504202
Scott,47151,705.3991273098648,344.46595187172306,"Scott County, Tennessee",NA,2023,21969,49,21920,0.223041559
Sawyer,55113,574.0521469511574,139.66804992949002,"Sawyer County, Wisconsin",NA,2023,18243,123,18120,0.674231212
Isabella,26073,679.9380766876391,181.3790564416376,"Isabella County, Michigan",NA,2023,64475,1252,63223,1.941837922
Stone,28131,631.6966044527294,480.9468765535666,"Stone County, Mississippi",NA,2023,18515,91,18424,0.491493384
Calhoun,28013,622.7214778244545,409.81228037478485,"Calhoun County, Mississippi",NA,2023,13029,331,12698,2.540486607
Thomas,31171,421.68736599623185,229.64593950540223,"Thomas County, Nebraska",NA,2023,626,0,626,0
Mitchell,48335,404.18929817145846,448.88776266917995,"Mitchell County, Texas",NA,2023,8989,182,8807,2.024696852
Jackson,08057,322.0407368817587,250.7699330442745,"Jackson County, Colorado",NA,2023,1422,0,1422,0
Howard,19089,558.4676968920226,197.35933451777194,"Howard County, Iowa",NA,2023,9459,88,9371,0.930330902
Sanilac,26151,713.3723934505243,181.77362445508493,"Sanilac County, Michigan",NA,2023,40574,243,40331,0.598905703
