"","V1","V2"
"1","01","7"
"2","02","1"
"3","04","10"
"4","05","4"
"5","06","48"
"6","08","8"
"7","09","5"
"8","10","1"
"9","12","28"
"10","13","14"
"11","15","2"
"12","16","3"
"13","17","16"
"14","18","9"
"15","19","4"
"16","20","4"
"17","21","6"
"18","22","6"
"19","23","2"
"20","24","8"
"21","25","9"
"22","26","14"
"23","27","8"
"24","28","4"
"25","29","8"
"26","30","2"
"27","31","3"
"28","32","4"
"29","33","2"
"30","34","12"
"31","35","3"
"32","36","25"
"33","37","14"
"34","38","1"
"35","39","16"
"36","40","5"
"37","41","6"
"38","42","17"
"39","44","2"
"40","45","7"
"41","46","1"
"42","47","10"
"43","48","38"
"44","49","5"
"45","50","1"
"46","51","11"
"47","53","10"
"48","54","2"
"49","55","8"
"50","56","1"
