,2023,,,,2021,,,,,,,,,,,
NAME, Total Population ,Citizen, Not a U.S. citizen , % Not a U.S. citizen , Total Population ,Citizen, Not a U.S. citizen , % Not a U.S. citizen ,,,Est 10-yr change-total,Est 10-yr change-noncitizen, est-2030-total , est-2023-citizen , est-2030-noncitizen , total20 
Alabama,"5,108,468","4,985,538","122,930", 0.02 ,"5,039,877","4,937,794","102,083",0.020255058,"68,591","20,847",342955,104235,"5,212,703","4,985,538","227,165","5,024,279"
Alaska,"733,406","713,261","20,145", 0.03 ,"732,673","710,900","21,773",0.029717214,733,"-1,628",3665,-8140,"725,266","713,261","12,005","733,391"
Arizona,"7,431,344","6,925,184","506,160", 0.07 ,"7,276,316","6,806,496","469,820",0.064568389,"155,028","36,340",775140,181700,"7,613,044","6,925,184","687,860","7,151,502"
Arkansas,"3,067,732","2,963,487","104,245", 0.03 ,"3,025,891","2,933,842","92,049",0.030420461,"41,841","12,196",209205,60980,"3,128,712","2,963,487","165,225","3,011,524"
California,"38,965,193","34,148,424","4,816,769", 0.12 ,"39,237,836","34,499,330","4,738,506",0.120763693,"-272,643","78,263",-1363215,391315,"39,356,508","34,148,424","5,208,084","39,538,223"
Colorado,"5,877,610","5,576,792","300,818", 0.05 ,"5,812,069","5,521,011","291,058",0.050078208,"65,541","9,760",327705,48800,"5,926,410","5,576,792","349,618","5,773,714"
Connecticut,"3,617,176","3,349,938","267,238", 0.07 ,"3,605,597","3,365,314","240,283",0.066641668,"11,579","26,955",57895,134775,"3,751,951","3,349,938","402,013","3,605,944"
Delaware,"1,031,890","975,709","56,181", 0.05 ,"1,003,384","958,955","44,429",0.044279159,"28,506","11,752",142530,58760,"1,090,650","975,709","114,941","989,948"
District of Columbia,"678,972","632,348","46,624", 0.07 ,"670,050","625,724","44,326",0.066153272,"8,922","2,298",44610,11490,"690,462","632,348","58,114","689,545"
Florida,"22,610,726","20,449,914","2,160,812", 0.10 ,"21,781,128","19,946,953","1,834,175",0.084209367,"829,598","326,637",4147990,1633185,"24,243,911","20,449,914","3,793,997","21,538,187"
Georgia,"11,029,227","10,380,214","649,013", 0.06 ,"10,799,566","10,258,214","541,352",0.0501272,"229,661","107,661",1148305,538305,"11,567,532","10,380,214","1,187,318","10,711,908"
Hawaii,"1,435,138","1,339,554","95,584", 0.07 ,"1,441,553","1,337,597","103,956",0.072113894,"-6,415","-8,372",-32075,-41860,"1,393,278","1,339,554","53,724","1,455,271"
Idaho,"1,964,726","1,905,484","59,242", 0.03 ,"1,900,923","1,837,385","63,538",0.033424815,"63,803","-4,296",319015,-21480,"1,943,246","1,905,484","37,762","1,839,106"
Illinois,"12,549,689","11,662,689","887,000", 0.07 ,"12,671,469","11,832,259","839,210",0.066228312,"-121,780","47,790",-608900,238950,"12,788,639","11,662,689","1,125,950","12,812,508"
Indiana,"6,862,199","6,608,907","253,292", 0.04 ,"6,805,985","6,590,810","215,175",0.031615556,"56,214","38,117",281070,190585,"7,052,784","6,608,907","443,877","6,785,528"
Iowa,"3,207,004","3,097,896","109,108", 0.03 ,"3,193,079","3,104,672","88,407",0.027687069,"13,925","20,701",69625,103505,"3,310,509","3,097,896","212,613","3,190,369"
Kansas,"2,940,547","2,824,899","115,648", 0.04 ,"2,934,582","2,822,073","112,509",0.038339021,"5,965","3,139",29825,15695,"2,956,242","2,824,899","131,343","2,937,880"
Kentucky,"4,526,154","4,413,118","113,036", 0.02 ,"4,509,394","4,404,876","104,518",0.023177837,"16,760","8,518",83800,42590,"4,568,744","4,413,118","155,626","4,505,836"
Louisiana,"4,573,749","4,442,319","131,430", 0.03 ,"4,624,047","4,506,870","117,177",0.025340789,"-50,298","14,253",-251490,71265,"4,645,014","4,442,319","202,695","4,657,757"
Maine,"1,395,722","1,369,963","25,759", 0.02 ,"1,372,247","1,347,693","24,554",0.01789328,"23,475","1,205",117375,6025,"1,401,747","1,369,963","31,784","1,362,359"
Maryland,"6,180,253","5,712,584","467,669", 0.08 ,"6,165,129","5,729,300","435,829",0.0706926,"15,124","31,840",75620,159200,"6,339,453","5,712,584","626,869","6,177,224"
Massachusetts,"7,001,399","6,411,384","590,015", 0.08 ,"6,984,723","6,426,871","557,852",0.079867448,"16,676","32,163",83380,160815,"7,162,214","6,411,384","750,830","7,029,917"
Michigan,"10,037,261","9,717,344","319,917", 0.03 ,"10,050,811","9,766,509","284,302",0.028286474,"-13,550","35,615",-67750,178075,"10,215,336","9,717,344","497,992","10,077,331"
Minnesota,"5,737,915","5,529,477","208,438", 0.04 ,"5,707,390","5,504,558","202,832",0.035538486,"30,525","5,606",152625,28030,"5,765,945","5,529,477","236,468","5,706,494"
Mississippi,"2,939,690","2,891,324","48,366", 0.02 ,"2,949,965","2,916,231","33,734",0.01143539,"-10,275","14,632",-51375,73160,"3,012,850","2,891,324","121,526","2,961,279"
Missouri,"6,196,156","6,050,017","146,139", 0.02 ,"6,168,187","6,049,103","119,084",0.019306159,"27,969","27,055",139845,135275,"6,331,431","6,050,017","281,414","6,154,913"
Montana,"1,132,812","1,122,787","10,025", 0.01 ,"1,104,271","1,091,981","12,290",0.011129514,"28,541","-2,265",142705,-11325,"1,121,487","1,122,787","-1,300","1,084,225"
