,2023,,,,2021,,,,,,,,,,,
Nebraska,"1,978,379","1,889,723","88,656", 0.04 ,"1,963,692","1,881,819","81,873",0.041693402,"14,687","6,783",73435,33915,"2,012,294","1,889,723","122,571","1,961,504"
Nevada,"3,194,176","2,908,908","285,268", 0.09 ,"3,143,991","2,878,523","265,468",0.084436628,"50,185","19,800",250925,99000,"3,293,176","2,908,908","384,268","3,104,614"
New Hampshire,"1,402,054","1,365,088","36,966", 0.03 ,"1,388,992","1,357,031","31,961",0.023010212,"13,062","5,005",65310,25025,"1,427,079","1,365,088","61,991","1,377,529"
New Jersey,"9,290,841","8,297,879","992,962", 0.11 ,"9,267,130","8,355,022","912,108",0.098424,"23,711","80,854",118555,404270,"9,695,111","8,297,879","1,397,232","9,288,994"
New Mexico,"2,114,371","1,993,283","121,088", 0.06 ,"2,115,877","2,010,607","105,270",0.049752419,"-1,506","15,818",-7530,79090,"2,193,461","1,993,283","200,178","2,117,522"
New York,"19,571,216","17,741,004","1,830,212", 0.09 ,"19,835,913","18,079,627","1,756,286",0.088540719,"-264,697","73,926",-1323485,369630,"19,940,846","17,741,004","2,199,842","20,201,249"
North Carolina,"10,835,491","10,273,721","561,770", 0.05 ,"10,551,162","10,059,305","491,857",0.046616382,"284,329","69,913",1421645,349565,"11,185,056","10,273,721","911,335","10,439,388"
North Dakota,"783,926","767,912","16,014", 0.02 ,"774,948","757,461","17,487",0.022565385,"8,978","-1,473",44890,-7365,"776,561","767,912","8,649","779,094"
Ohio,"11,785,935","11,482,109","303,826", 0.03 ,"11,780,017","11,510,322","269,695",0.022894279,"5,918","34,131",29590,170655,"11,956,590","11,482,109","474,481","11,799,448"
Oklahoma,"4,053,824","3,907,892","145,932", 0.04 ,"3,986,639","3,851,133","135,506",0.033990035,"67,185","10,426",335925,52130,"4,105,954","3,907,892","198,062","3,959,353"
Oregon,"4,233,358","4,028,390","204,968", 0.05 ,"4,246,155","4,047,421","198,734",0.046803284,"-12,797","6,234",-63985,31170,"4,264,528","4,028,390","236,138","4,237,256"
Pennsylvania,"12,961,683","12,498,200","463,483", 0.04 ,"12,964,056","12,544,951","419,105",0.032328231,"-2,373","44,378",-11865,221890,"13,183,573","12,498,200","685,373","13,002,700"
Rhode Island,"1,095,962","1,021,025","74,937", 0.07 ,"1,095,610","1,027,732","67,878",0.061954528,352,"7,059",1760,35295,"1,131,257","1,021,025","110,232","1,097,379"
South Carolina,"5,373,555","5,192,515","181,040", 0.03 ,"5,190,705","5,042,176","148,529",0.028614418,"182,850","32,511",914250,162555,"5,536,110","5,192,515","343,595","5,118,425"
South Dakota,"919,318","899,321","19,997", 0.02 ,"895,376","878,945","16,431",0.01835095,"23,942","3,566",119710,17830,"937,148","899,321","37,827","886,667"
Tennessee,"7,126,489","6,856,810","269,679", 0.04 ,"6,975,218","6,755,489","219,729",0.031501381,"151,271","49,950",756355,249750,"7,376,239","6,856,810","519,429","6,910,840"
Texas,"30,503,301","27,363,697","3,139,604", 0.10 ,"29,527,941","26,560,465","2,967,476",0.100497221,"975,360","172,128",4876800,860640,"31,363,941","27,363,697","4,000,244","29,145,505"
Utah,"3,417,734","3,242,799","174,935", 0.05 ,"3,337,975","3,183,801","154,174",0.046187883,"79,759","20,761",398795,103805,"3,521,539","3,242,799","278,740","3,271,616"
Vermont,"647,464","637,737","9,727", 0.02 ,"645,570","634,501","11,069",0.017146088,"1,894","-1,342",9470,-6710,"640,754","637,737","3,017","643,077"
Virginia,"8,715,698","8,214,584","501,114", 0.06 ,"8,642,274","8,183,571","458,703",0.053076656,"73,424","42,411",367120,212055,"8,927,753","8,214,584","713,169","8,631,393"
Washington,"7,812,880","7,193,945","618,935", 0.08 ,"7,738,692","7,155,663","583,029",0.075339476,"74,188","35,906",370940,179530,"7,992,410","7,193,945","798,465","7,705,281"
West Virginia,"1,770,071","1,754,819","15,252", 0.01 ,"1,782,959","1,768,917","14,042",0.007875672,"-12,888","1,210",-64440,6050,"1,776,121","1,754,819","21,302","1,793,716"
Wisconsin,"5,910,955","5,749,152","161,803", 0.03 ,"5,895,908","5,742,839","153,069",0.025961904,"15,047","8,734",75235,43670,"5,954,625","5,749,152","205,473","5,893,718"
Wyoming,"584,057","572,483","11,574", 0.02 ,"578,803","567,083","11,720",0.020248686,"5,254",-146,26270,-730,"583,327","572,483","10,844","576,851"
