Geography,Geographic Area Name,total,noncitizen,citizen
5001800US4816,"Congressional District 16 (118th Congress), Texas",766538,80703,685835
5001800US4817,"Congressional District 17 (118th Congress), Texas",800590,50528,750062
5001800US4818,"Congressional District 18 (118th Congress), Texas",788066,124750,663316
5001800US4819,"Congressional District 19 (118th Congress), Texas",771186,37645,733541
5001800US4820,"Congressional District 20 (118th Congress), Texas",768443,71475,696968
5001800US4821,"Congressional District 21 (118th Congress), Texas",839290,37179,802111
5001800US4822,"Congressional District 22 (118th Congress), Texas",852846,98641,754205
5001800US4823,"Congressional District 23 (118th Congress), Texas",786734,58815,727919
5001800US4824,"Congressional District 24 (118th Congress), Texas",784279,56182,728097
5001800US4825,"Congressional District 25 (118th Congress), Texas",813686,48514,765172
5001800US4826,"Congressional District 26 (118th Congress), Texas",854717,68466,786251
5001800US4827,"Congressional District 27 (118th Congress), Texas",779431,46532,732899
5001800US4828,"Congressional District 28 (118th Congress), Texas",799580,89375,710205
5001800US4829,"Congressional District 29 (118th Congress), Texas",740677,158744,581933
5001800US4830,"Congressional District 30 (118th Congress), Texas",772920,81943,690977
5001800US4831,"Congressional District 31 (118th Congress), Texas",868119,56116,812003
5001800US4832,"Congressional District 32 (118th Congress), Texas",762001,132712,629289
5001800US4833,"Congressional District 33 (118th Congress), Texas",734551,197566,536985
5001800US4834,"Congressional District 34 (118th Congress), Texas",778323,115622,662701
5001800US4835,"Congressional District 35 (118th Congress), Texas",834055,82940,751115
5001800US4836,"Congressional District 36 (118th Congress), Texas",789655,59600,730055
5001800US4837,"Congressional District 37 (118th Congress), Texas",765870,72492,693378
5001800US4838,"Congressional District 38 (118th Congress), Texas",796788,87827,708961
5001800US4901,"Congressional District 1 (118th Congress), Utah",855830,32567,823263
5001800US4902,"Congressional District 2 (118th Congress), Utah",857385,55755,801630
5001800US4903,"Congressional District 3 (118th Congress), Utah",818995,41081,777914
5001800US4904,"Congressional District 4 (118th Congress), Utah",885524,45532,839992
5001800US5000,"Congressional District (at Large) (118th Congress), Vermont",647464,9727,637737
5001800US5101,"Congressional District 1 (118th Congress), Virginia",814127,35436,778691
5001800US5102,"Congressional District 2 (118th Congress), Virginia",789864,21055,768809
5001800US5103,"Congressional District 3 (118th Congress), Virginia",773212,20998,752214
5001800US5104,"Congressional District 4 (118th Congress), Virginia",796240,39455,756785
5001800US5105,"Congressional District 5 (118th Congress), Virginia",798327,19237,779090
5001800US5106,"Congressional District 6 (118th Congress), Virginia",794509,30954,763555
5001800US5107,"Congressional District 7 (118th Congress), Virginia",814164,57640,756524
5001800US5108,"Congressional District 8 (118th Congress), Virginia",769124,93164,675960
5001800US5109,"Congressional District 9 (118th Congress), Virginia",776692,11914,764778
5001800US5110,"Congressional District 10 (118th Congress), Virginia",805856,77540,728316
5001800US5111,"Congressional District 11 (118th Congress), Virginia",783583,93721,689862
5001800US5301,"Congressional District 1 (118th Congress), Washington",786950,123883,663067
5001800US5302,"Congressional District 2 (118th Congress), Washington",781299,49906,731393
5001800US5303,"Congressional District 3 (118th Congress), Washington",792906,30433,762473
5001800US5304,"Congressional District 4 (118th Congress), Washington",786057,79489,706568
5001800US5305,"Congressional District 5 (118th Congress), Washington",788598,24363,764235
5001800US5306,"Congressional District 6 (118th Congress), Washington",785859,26436,759423
5001800US5307,"Congressional District 7 (118th Congress), Washington",773546,77779,695767
5001800US5308,"Congressional District 8 (118th Congress), Washington",778099,57831,720268
5001800US5309,"Congressional District 9 (118th Congress), Washington",765854,108607,657247
5001800US5310,"Congressional District 10 (118th Congress), Washington",773712,40208,733504
5001800US5401,"Congressional District 1 (118th Congress), West Virginia",866374,5034,861340
5001800US5402,"Congressional District 2 (118th Congress), West Virginia",903697,10218,893479
5001800US5501,"Congressional District 1 (118th Congress), Wisconsin",730388,21750,708638
5001800US5502,"Congressional District 2 (118th Congress), Wisconsin",747345,36076,711269
5001800US5503,"Congressional District 3 (118th Congress), Wisconsin",739552,9099,730453
5001800US5504,"Congressional District 4 (118th Congress), Wisconsin",719795,45501,674294
5001800US5505,"Congressional District 5 (118th Congress), Wisconsin",746152,15859,730293
5001800US5506,"Congressional District 6 (118th Congress), Wisconsin",738802,11122,727680
5001800US5507,"Congressional District 7 (118th Congress), Wisconsin",747209,8047,739162
5001800US5508,"Congressional District 8 (118th Congress), Wisconsin",741712,14349,727363
5001800US5600,"Congressional District (at Large) (118th Congress), Wyoming",584057,11574,572483
