Geography,Geographic Area Name,total,noncitizen,citizen
5001800US0901,"Congressional District 1 (118th Congress), Connecticut",716454,45285,671169
5001800US0902,"Congressional District 2 (118th Congress), Connecticut",730400,24427,705973
5001800US0903,"Congressional District 3 (118th Congress), Connecticut",726058,45108,680950
5001800US0904,"Congressional District 4 (118th Congress), Connecticut",721814,83879,637935
5001800US0905,"Congressional District 5 (118th Congress), Connecticut",722450,68539,653911
5001800US1000,"Congressional District (at Large) (118th Congress), Delaware",1031890,56181,975709
5001800US1201,"Congressional District 1 (118th Congress), Florida",803679,26436,777243
5001800US1202,"Congressional District 2 (118th Congress), Florida",799012,28374,770638
5001800US1203,"Congressional District 3 (118th Congress), Florida",807523,36103,771420
5001800US1204,"Congressional District 4 (118th Congress), Florida",811996,21886,790110
5001800US1205,"Congressional District 5 (118th Congress), Florida",837211,45670,791541
5001800US1206,"Congressional District 6 (118th Congress), Florida",821498,26948,794550
5001800US1207,"Congressional District 7 (118th Congress), Florida",802027,38581,763446
5001800US1208,"Congressional District 8 (118th Congress), Florida",817216,23481,793735
5001800US1209,"Congressional District 9 (118th Congress), Florida",842005,109445,732560
5001800US1210,"Congressional District 10 (118th Congress), Florida",784303,104856,679447
5001800US1211,"Congressional District 11 (118th Congress), Florida",843676,55111,788565
5001800US1212,"Congressional District 12 (118th Congress), Florida",843806,32529,811277
5001800US1213,"Congressional District 13 (118th Congress), Florida",767679,31103,736576
5001800US1214,"Congressional District 14 (118th Congress), Florida",784928,82293,702635
5001800US1215,"Congressional District 15 (118th Congress), Florida",828431,73126,755305
5001800US1216,"Congressional District 16 (118th Congress), Florida",850603,61535,789068
5001800US1217,"Congressional District 17 (118th Congress), Florida",851634,58804,792830
5001800US1218,"Congressional District 18 (118th Congress), Florida",853391,61368,792023
5001800US1219,"Congressional District 19 (118th Congress), Florida",809197,74438,734759
5001800US1220,"Congressional District 20 (118th Congress), Florida",803297,125088,678209
5001800US1221,"Congressional District 21 (118th Congress), Florida",820276,53260,767016
5001800US1222,"Congressional District 22 (118th Congress), Florida",773713,104823,668890
5001800US1223,"Congressional District 23 (118th Congress), Florida",780374,99392,680982
5001800US1224,"Congressional District 24 (118th Congress), Florida",772726,150980,621746
5001800US1225,"Congressional District 25 (118th Congress), Florida",779002,120637,658365
5001800US1226,"Congressional District 26 (118th Congress), Florida",809482,212870,596612
5001800US1227,"Congressional District 27 (118th Congress), Florida",746930,160659,586271
5001800US1228,"Congressional District 28 (118th Congress), Florida",765111,141016,624095
5001800US1301,"Congressional District 1 (118th Congress), Georgia",799549,26242,773307
5001800US1302,"Congressional District 2 (118th Congress), Georgia",757219,17826,739393
5001800US1303,"Congressional District 3 (118th Congress), Georgia",793606,25853,767753
5001800US1304,"Congressional District 4 (118th Congress), Georgia",764506,74099,690407
5001800US1305,"Congressional District 5 (118th Congress), Georgia",774627,35736,738891
5001800US1306,"Congressional District 6 (118th Congress), Georgia",797492,73831,723661
5001800US1307,"Congressional District 7 (118th Congress), Georgia",778113,126647,651466
5001800US1308,"Congressional District 8 (118th Congress), Georgia",778270,21913,756357
5001800US1309,"Congressional District 9 (118th Congress), Georgia",810092,58758,751334
5001800US1310,"Congressional District 10 (118th Congress), Georgia",833978,32557,801421
5001800US1311,"Congressional District 11 (118th Congress), Georgia",791779,53736,738043
5001800US1312,"Congressional District 12 (118th Congress), Georgia",779898,17607,762291
5001800US1313,"Congressional District 13 (118th Congress), Georgia",773905,43648,730257
5001800US1314,"Congressional District 14 (118th Congress), Georgia",796193,40560,755633
5001800US1501,"Congressional District 1 (118th Congress), Hawaii",723269,56003,667266
5001800US1502,"Congressional District 2 (118th Congress), Hawaii",711869,39581,672288
5001800US1601,"Congressional District 1 (118th Congress), Idaho",1008961,23254,985707
5001800US1602,"Congressional District 2 (118th Congress), Idaho",955765,35988,919777
